id;inventory;exp;gender;age;TI;religiousity;course;extraversion;agreeableness;conscientiousness;neuroticism;openness;assertiveness;activity;altruism;compliance;order;selfdiscipline;ansiety;depression;aesthetics;ideas
71;facebook;0;male;20;yes;1;1;3,13;4,00;2,89;1,75;3,80;3,40;2,50;3,75;3,67;3,00;3,20;2,00;1,50;3,67;4,20
72;facebook;0;female;;;;0;3,50;4,00;4,33;2,88;3,70;3,00;4,50;4,50;3,67;4,50;4,40;3,00;3,00;3,33;4,20
73;facebook;0;female;36;no;4;0;2,50;4,11;4,78;3,63;3,50;2,40;3,00;5,00;3,33;5,00;4,60;4,00;3,00;3,67;3,40
74;facebook;0;male;22;yes;1;1;3,75;2,22;2,22;2,75;4,70;3,60;4,50;2,00;2,67;2,50;1,40;3,25;2,00;4,33;5,00
75;facebook;0;female;27;no;;0;2,50;3,44;3,44;3,38;4,20;2,40;2,50;3,25;3,33;3,50;3,20;3,50;3,00;4,67;4,20
76;facebook;2;male;26;no;4;0;3,00;3,67;4,78;3,38;3,80;2,60;3,50;4,00;3,00;4,50;4,80;3,75;3,00;4,00;4,20
78;facebook;0;female;26;yes;2;1;2,50;3,56;2,67;3,25;2,90;2,40;3,00;3,50;3,67;2,00;3,00;3,25;3,50;3,00;2,80
80;facebook;0;male;25;yes;5;1;3,63;4,00;2,00;1,50;4,50;3,00;5,00;4,00;4,00;1,00;2,60;1,50;1,50;4,67;4,40
81;facebook;0;male;;yes;;0;3,50;4,67;5,00;2,00;4,60;3,00;4,00;4,75;4,67;5,00;5,00;2,25;1,00;4,33;5,00
82;facebook;0;male;24;yes;3;1;4,25;3,67;3,33;2,38;3,50;3,80;5,00;4,00;3,67;1,00;3,60;2,25;2,50;2,00;4,20
83;facebook;3;male;20;yes;1;1;2,63;3,33;3,00;3,75;3,20;2,60;3,00;3,75;2,67;3,00;3,00;4,25;3,00;3,67;3,00
84;facebook;0;female;60;no;4;0;4,63;4,11;4,22;2,50;4,30;4,80;4,00;4,00;3,67;4,50;3,80;2,75;2,50;3,33;4,80
85;facebook;0;female;22;no;4;0;2,38;3,89;3,44;3,38;3,60;2,40;2,50;4,00;3,33;3,00;3,60;4,25;2,00;3,67;3,80
86;facebook;0;male;30;no;3;0;1,63;3,78;3,67;1,88;2,90;1,40;2,50;4,00;4,33;4,00;3,40;1,75;2,00;2,33;3,40
87;facebook;0;male;24;no;2;0;2,50;3,67;3,11;1,13;4,00;2,60;2,50;3,75;3,00;2,50;3,20;1,25;1,00;2,67;4,60
88;facebook;0;male;23;no;;0;3,00;3,67;3,33;1,75;3,90;3,00;3,00;3,75;3,67;3,00;3,20;1,75;1,50;3,67;4,20
89;facebook;0;male;23;yes;1;0;2,25;3,33;2,33;3,00;4,30;2,00;2,50;3,25;3,33;2,00;2,20;3,00;3,50;4,00;4,60
90;facebook;0;female;22;;;0;1,63;2,89;2,11;3,88;2,50;1,60;1,50;3,25;2,33;2,00;1,80;3,50;4,50;2,33;3,20
91;facebook;0;female;24;;;0;2,88;3,89;3,33;2,63;4,50;2,40;3,50;4,50;3,00;2,50;3,40;3,25;1,50;4,33;4,60
92;facebook;0;male;23;yes;4;1;4,25;3,78;3,11;2,13;4,10;4,20;4,00;4,75;2,33;2,00;3,20;2,75;1,50;4,33;4,00
93;facebook;0;male;24;yes;4;1;4,38;4,22;2,78;3,63;4,10;4,40;4,00;4,75;4,00;2,00;3,00;4,00;2,50;3,00;4,40
94;facebook;3;female;21;yes;2;1;3,13;3,67;2,11;4,00;3,70;3,20;3,00;3,75;4,00;1,50;1,80;4,00;4,00;3,33;4,20
95;facebook;0;female;21;yes;3;1;3,13;3,89;3,56;3,00;3,60;2,80;4,00;4,00;3,33;3,00;3,60;3,25;2,00;4,00;3,40
96;facebook;0;male;;no;;0;4,50;3,11;2,44;3,38;4,80;4,60;4,00;3,75;2,00;1,00;2,60;3,50;2,50;4,33;5,00
97;facebook;0;female;;;;0;3,38;4,44;2,78;2,88;4,20;3,00;4,00;4,50;4,33;1,00;3,20;2,75;3,00;3,67;4,20
98;facebook;0;female;;;;0;3,13;3,56;3,44;3,25;3,50;2,80;3,50;4,25;3,00;3,00;3,60;3,50;3,00;2,33;4,00
100;facebook;0;male;22;no;;0;1,38;2,33;1,67;4,63;4,40;1,40;1,50;2,50;2,67;1,00;1,60;4,50;4,50;5,00;4,20
101;facebook;0;female;;;;0;2,25;3,67;2,44;4,75;3,70;1,80;2,50;4,00;3,67;1,50;2,60;4,50;5,00;3,33;3,80
102;facebook;0;female;18;no;;0;2,25;2,78;3,44;3,75;4,90;1,80;3,00;3,50;2,00;2,00;3,40;3,25;4,50;5,00;4,80
103;facebook;0;female;;;;0;3,88;4,22;3,78;2,13;4,00;3,40;4,50;4,50;4,33;4,00;4,00;2,75;1,00;3,67;4,00
104;facebook;0;female;;no;;0;3,13;3,22;3,11;3,38;3,80;3,00;3,00;3,25;3,67;3,00;2,80;3,25;3,50;4,00;3,80
105;facebook;0;female;;;;0;2,63;3,22;2,78;4,13;3,60;2,20;3,00;3,75;2,67;2,00;2,80;4,00;4,50;3,67;3,40
106;facebook;0;male;24;yes;;0;2,75;3,11;3,22;3,38;3,20;2,80;2,50;3,50;2,33;2,50;3,20;3,25;4,00;3,67;3,20
107;facebook;0;female;;;;0;4,50;3,56;4,67;4,88;2,90;4,80;3,50;5,00;2,00;5,00;4,60;5,00;4,50;2,00;3,00
108;facebook;0;female;24;yes;1;1;2,75;3,56;3,89;2,38;2,40;2,60;2,50;3,75;3,33;4,50;3,60;2,75;2,00;1,67;2,80
109;facebook;0;male;25;yes;1;0;3,00;3,11;3,11;3,00;4,40;2,80;3,50;3,75;2,00;2,00;3,40;3,50;2,50;3,33;5,00
110;facebook;0;female;;no;;0;3,38;3,89;4,00;2,75;3,10;3,20;3,50;4,50;3,00;3,50;3,80;3,25;1,50;3,00;3,20
112;facebook;0;male;;;;0;1,50;3,56;3,56;2,50;3,80;1,00;3,00;3,75;3,33;4,00;3,00;2,25;3,50;4,00;4,00
113;facebook;0;female;25;no;;0;3,75;4,33;4,11;2,88;3,60;3,40;4,00;5,00;3,33;3,00;4,40;3,25;2,00;3,00;4,20
114;facebook;0;female;28;;;0;3,00;3,56;2,22;3,38;3,40;3,00;2,50;4,00;2,67;3,00;2,00;2,75;3,00;2,67;3,60
115;facebook;0;female;;;;0;2,63;3,22;4,11;4,13;3,40;2,40;2,50;3,50;3,00;4,50;3,60;4,00;4,00;2,33;3,80
116;facebook;0;female;;no;;0;4,25;3,44;3,78;3,75;4,00;4,00;4,50;4,25;2,33;3,00;3,60;3,50;3,50;3,33;4,20
117;facebook;0;male;23;yes;1;1;2,38;3,11;4,33;2,38;4,40;2,00;3,50;3,75;2,67;5,00;4,00;2,50;2,50;5,00;4,00
118;facebook;0;male;26;no;2;0;4,00;3,44;3,78;2,38;3,60;3,80;4,00;4,00;2,67;2,00;4,40;2,75;2,00;1,33;4,80
119;facebook;0;female;;;;0;3,88;4,67;3,56;1,88;3,80;4,00;3,50;5,00;4,00;4,00;3,40;1,75;1,50;4,33;3,20
120;facebook;0;female;26;no;2;0;2,88;3,89;3,89;4,13;3,30;2,80;3,00;4,00;3,67;4,00;3,80;4,50;3,00;4,00;2,80
121;facebook;0;female;;;;0;3,13;3,44;4,00;4,88;4,30;2,40;4,00;4,50;2,33;5,00;3,40;5,00;4,50;4,67;3,80
122;facebook;0;female;22;no;;0;3,88;3,00;2,44;2,50;3,10;4,00;3,50;3,75;2,33;2,00;2,40;3,25;1,50;2,67;3,20
123;facebook;0;female;;no;;0;4,00;3,78;3,78;3,63;4,90;3,80;4,00;4,75;3,00;3,50;3,60;4,00;2,00;4,67;5,00
124;facebook;0;female;27;no;3;0;3,38;4,33;5,00;1,88;4,30;2,60;4,50;4,25;4,00;5,00;5,00;2,25;1,50;5,00;4,20
125;facebook;0;female;61;no;;0;3,63;3,22;4,33;2,63;3,70;3,00;4,50;3,75;2,33;4,50;4,00;3,00;2,50;3,00;3,80
126;facebook;0;female;;;;0;2,25;3,67;2,44;2,75;3,80;2,00;2,00;4,75;2,67;1,00;2,20;2,25;3,50;3,67;3,40
127;facebook;0;female;;;;0;3,88;4,67;4,44;3,88;3,90;3,40;4,50;5,00;5,00;3,50;4,80;3,50;4,00;4,33;3,80
128;facebook;0;male;24;yes;2;0;3,00;3,67;2,44;2,88;3,90;2,40;4,00;4,00;2,67;2,00;2,60;3,25;2,50;2,67;4,60
130;facebook;0;male;;;;0;3,13;3,22;3,00;3,25;3,40;2,80;4,00;3,50;3,00;2,00;3,00;3,25;3,50;2,33;3,80
131;facebook;0;female;;;;0;2,25;3,67;2,22;2,38;4,80;2,20;2,50;4,00;3,67;1,00;1,80;2,25;2,00;4,67;4,80
132;facebook;0;female;23;yes;4;1;3,25;4,56;2,89;2,75;4,70;2,40;4,50;4,75;4,00;2,00;3,00;2,50;3,00;5,00;4,40
133;facebook;0;female;23;no;;0;2,63;3,89;2,89;3,88;3,90;2,80;2,00;4,00;3,33;1,00;3,20;4,00;4,00;3,67;3,80
134;facebook;0;female;;;;0;2,25;4,00;3,67;4,00;3,80;2,00;3,00;4,00;4,33;2,50;4,00;4,50;3,00;3,33;4,00
135;facebook;0;female;;yes;;0;3,13;3,56;3,44;3,63;3,70;2,80;3,50;4,25;2,33;3,00;3,00;4,00;2,50;2,33;4,20
137;facebook;0;female;;no;;0;3,63;3,11;2,56;3,88;4,30;3,60;3,50;3,50;2,67;3,00;2,20;3,50;4,00;4,33;4,00
138;facebook;0;female;22;no;;3;2,00;2,78;3,33;4,50;3,30;2,00;2,00;3,50;2,00;3,50;3,00;4,75;4,50;3,33;3,40
139;facebook;0;female;22;;;0;3,63;3,11;3,67;3,50;3,30;3,40;4,00;3,75;2,67;3,00;3,60;3,75;3,00;3,33;3,40
140;facebook;0;female;;no;;0;1,88;3,00;3,11;2,63;3,60;1,60;3,00;3,00;3,00;2,50;3,20;2,75;2,00;4,67;3,00
141;facebook;0;female;;;;0;4,25;3,00;3,11;2,88;4,30;4,20;4,00;3,25;3,67;1,50;3,20;3,25;1,50;5,00;4,20
142;facebook;0;male;;yes;;0;4,13;3,22;4,11;1,88;4,30;3,80;5,00;4,00;1,67;4,50;3,60;2,00;1,50;3,00;5,00
143;facebook;0;female;;;;0;1,88;3,44;3,44;3,63;3,40;1,20;2,50;4,00;3,00;2,00;3,40;3,25;3,00;3,67;3,40
144;facebook;5;female;23;no;2;6;2,25;3,67;2,22;3,13;3,20;1,80;3,00;4,00;3,67;1,00;2,60;3,25;3,00;3,67;2,80
145;facebook;0;female;;no;;0;1,75;3,89;4,00;2,50;4,80;1,40;3,00;4,00;3,33;2,50;4,20;2,50;2,00;5,00;4,60
146;facebook;0;female;24;no;4;0;3,50;3,11;2,89;2,75;2,90;3,40;3,50;3,00;3,00;3,00;3,00;2,50;2,50;2,67;2,80
147;facebook;0;female;24;no;;2;2,13;3,33;3,33;2,63;2,90;2,00;2,50;4,00;2,33;2,50;3,40;2,75;2,00;2,00;3,40
148;facebook;0;female;51;no;4;0;3,75;4,00;4,33;3,25;3,80;3,60;3,50;4,50;3,00;4,00;4,20;3,75;2,50;4,33;3,40
149;facebook;0;male;31;no;4;0;3,38;4,00;4,11;3,13;4,20;3,40;3,50;4,25;3,67;4,00;4,00;3,25;3,00;3,33;4,60
151;facebook;0;female;;;;0;3,38;3,56;3,89;2,75;3,30;3,20;3,50;3,75;3,00;3,50;4,00;3,00;2,50;3,67;3,20
154;facebook;0;male;;;;0;2,75;3,00;2,78;2,38;4,80;2,20;3,50;3,50;2,67;1,00;3,00;2,25;2,50;5,00;4,60
155;facebook;0;female;;;;0;3,38;3,67;4,11;3,13;4,90;3,20;3,50;3,50;4,00;5,00;3,60;2,50;4,00;5,00;5,00
156;facebook;0;female;;no;;0;3,88;3,00;2,89;4,13;4,10;3,60;4,50;3,50;2,33;3,00;2,40;4,00;4,50;4,67;4,00
157;facebook;0;male;23;no;;0;3,25;3,44;3,11;2,50;3,90;3,20;3,00;3,75;3,33;2,50;3,00;2,75;2,00;4,67;3,40
158;facebook;0;female;;;;0;4,38;4,00;2,89;4,13;4,10;4,20;5,00;5,00;2,67;1,50;2,60;4,00;3,50;4,00;4,00
160;facebook;0;male;;;;0;3,63;3,56;2,67;2,88;4,40;2,80;5,00;4,25;3,00;1,00;2,80;2,25;4,50;4,67;4,00
161;facebook;0;female;28;;;0;2,13;3,78;3,78;2,38;3,90;2,40;1,50;3,50;4,33;3,00;3,80;2,50;2,50;4,00;4,20
162;facebook;0;female;;;;0;3,50;2,78;2,00;4,00;3,80;3,40;3,50;3,25;2,67;1,00;2,00;4,75;3,00;4,00;3,60
163;facebook;0;female;;no;;0;3,38;3,00;3,11;5,00;2,70;2,80;4,00;3,25;2,67;3,00;2,60;5,00;5,00;1,67;2,60
164;facebook;0;female;;;;0;4,63;3,11;2,89;3,88;3,20;5,00;3,50;4,00;2,33;1,00;3,20;4,00;3,50;1,67;3,40
165;facebook;0;female;;no;;0;4,25;4,44;3,78;1,75;3,70;4,00;4,50;4,50;4,00;3,50;4,20;2,00;1,50;3,67;4,00
166;facebook;0;female;24;yes;;0;2,25;3,56;1,67;5,00;3,60;1,60;4,50;3,50;3,33;1,00;1,60;5,00;5,00;3,67;4,00
167;facebook;0;female;27;no;4;0;4,25;4,44;4,67;2,13;3,70;4,00;4,50;5,00;3,33;5,00;4,40;2,75;1,50;3,67;4,20
168;facebook;0;female;;;;0;3,38;3,89;3,56;4,50;3,10;3,20;3,00;4,25;4,00;4,00;2,80;5,00;3,00;2,33;3,00
170;facebook;0;male;;;;0;3,25;2,78;2,89;4,13;3,50;3,40;3,00;4,00;1,33;2,00;3,00;4,50;3,50;3,67;3,20
171;facebook;0;female;;no;;0;4,25;3,89;2,78;4,00;3,90;4,00;5,00;4,00;4,00;1,50;3,20;3,75;4,00;3,67;4,00
172;facebook;0;female;;;;0;2,25;2,89;3,56;3,63;4,40;2,20;2,50;3,00;2,33;3,00;3,40;3,75;3,50;5,00;4,20
173;facebook;0;female;;;;0;4,25;3,67;3,44;2,38;4,00;4,40;3,50;4,00;3,33;2,50;3,60;2,00;2,50;4,33;3,60
174;facebook;0;male;;no;;0;3,50;3,67;3,56;2,50;4,00;3,00;4,00;4,00;3,00;3,00;3,60;2,25;2,50;3,33;4,20
176;facebook;0;female;;;;0;3,25;4,33;4,67;2,25;3,40;2,80;4,00;4,25;4,33;5,00;4,40;2,50;2,00;3,00;3,80
177;facebook;0;male;21;no;;0;2,88;2,67;2,78;3,13;2,70;3,00;2,50;3,50;1,33;2,00;2,40;3,75;2,50;2,67;3,00
178;facebook;0;male;;;;0;4,50;3,44;3,00;2,00;3,90;4,40;4,50;4,25;2,33;1,00;3,40;2,50;2,00;3,33;3,80
179;facebook;0;female;;;;0;3,88;3,33;3,67;3,38;2,70;4,40;2,00;4,00;2,33;3,00;3,60;3,00;4,00;3,33;3,00
181;facebook;0;female;;;;0;2,75;3,67;3,56;4,13;3,10;2,00;4,00;4,00;4,00;2,50;3,40;4,00;4,50;2,00;3,60
182;facebook;0;female;;;;0;3,13;3,89;4,33;3,25;3,30;3,00;3,00;4,75;3,00;4,00;4,60;4,00;2,00;4,00;3,00
183;facebook;0;female;;no;;0;3,63;4,33;4,11;2,25;4,80;3,60;3,50;4,50;4,00;3,50;4,00;2,75;1,50;5,00;4,60
184;facebook;0;female;;no;;0;4,00;4,44;4,00;2,75;4,00;3,60;4,50;4,50;4,67;3,50;3,80;2,75;2,50;2,33;4,60
185;facebook;0;female;;;;0;3,38;3,22;3,44;3,50;3,90;3,00;4,00;3,50;3,00;2,50;3,60;3,25;3,00;3,33;4,00
186;facebook;0;female;;;;0;3,50;4,11;4,33;2,75;3,40;3,20;4,00;4,00;4,33;4,00;4,20;4,00;1,00;3,00;3,20
187;facebook;0;male;20;yes;5;1;3,50;2,78;3,56;2,00;4,30;3,20;4,50;3,25;1,33;4,50;3,40;1,75;2,50;3,33;5,00
188;facebook;0;female;;;;0;4,25;4,56;3,78;3,75;3,90;4,20;4,00;5,00;3,67;3,50;3,40;4,25;3,50;3,67;3,80
189;facebook;0;female;;no;;0;2,88;4,00;4,44;3,50;3,90;2,20;4,00;5,00;2,33;4,50;4,40;3,75;2,50;4,00;3,60
190;facebook;0;male;18;;;0;3,50;3,11;2,89;2,75;4,10;2,80;4,50;4,25;2,00;1,50;2,80;2,25;3,50;3,00;4,40
191;facebook;0;female;;;;0;2,75;3,78;3,33;3,13;4,10;2,20;3,00;4,25;3,33;2,00;3,40;2,75;4,00;3,67;4,20
192;facebook;0;female;;;;0;1,25;3,00;3,33;2,13;3,40;1,40;1,00;4,25;1,33;2,00;3,80;2,00;1,50;2,00;3,80
193;facebook;0;male;;yes;;0;3,25;2,67;3,89;3,50;3,00;3,40;2,50;3,00;2,33;3,00;3,80;3,50;3,00;1,00;4,00
194;facebook;0;female;;;;0;3,88;3,56;2,67;4,25;2,90;3,60;4,00;4,25;2,67;3,50;2,40;4,50;3,00;2,67;3,00
195;facebook;0;male;;;;0;2,75;2,67;2,67;3,63;3,70;2,40;3,50;3,50;2,00;2,00;2,60;3,50;3,50;3,33;4,00
196;facebook;0;male;23;no;;0;2,63;3,44;3,78;2,75;3,30;2,40;3,00;3,50;3,33;4,00;3,20;3,50;2,00;3,33;3,60
197;facebook;0;male;;no;;0;4,75;3,00;4,00;2,88;4,20;4,60;5,00;3,75;2,00;3,00;4,60;3,00;2,50;5,00;3,80
198;facebook;0;female;;;;0;2,38;3,44;3,22;1,75;1,70;2,60;2,50;2,75;4,33;4,00;3,40;1,75;2,00;1,33;1,60
199;facebook;0;female;;no;;0;3,75;4,67;3,11;2,00;3,50;3,60;4,00;4,75;4,33;2,00;3,20;2,25;1,50;3,00;4,00
200;facebook;0;female;;no;;0;4,25;3,78;3,78;3,50;4,40;4,00;4,50;4,50;3,00;3,50;3,60;3,25;3,50;5,00;4,20
201;facebook;0;male;22;;;0;1,50;3,22;2,67;4,25;3,10;1,20;2,00;3,00;3,33;4,50;1,60;3,75;4,50;3,67;3,00
202;facebook;0;female;23;no;;0;3,25;4,22;3,33;2,13;4,60;3,20;3,50;4,25;4,00;4,00;2,80;2,00;1,50;5,00;4,20
203;facebook;0;female;;;;0;3,25;3,00;2,89;3,63;4,50;2,40;4,50;4,25;1,33;1,00;3,00;4,00;2,00;4,33;4,40
205;facebook;0;male;;no;;0;2,63;3,11;3,89;3,63;4,00;2,80;2,50;3,00;2,33;3,50;3,80;3,75;4,50;3,00;4,20
206;facebook;0;female;;;;0;4,13;3,67;2,89;4,25;3,70;3,80;4,50;4,50;3,33;2,50;3,20;4,00;4,50;3,00;3,80
207;facebook;0;male;;;;0;3,38;3,78;2,33;2,13;4,50;3,60;3,00;4,25;4,00;2,00;2,20;2,25;1,50;5,00;4,40
208;facebook;0;female;;;;0;2,38;4,00;3,56;4,00;4,20;2,40;3,00;4,25;3,00;2,00;3,60;4,00;4,00;3,33;4,80
209;facebook;0;female;;;;0;4,75;3,67;3,11;2,50;4,10;4,60;5,00;4,25;3,00;1,00;3,60;3,00;1,00;2,00;5,00
211;facebook;0;male;;yes;;0;4,00;3,67;3,67;3,13;4,50;4,00;3,50;3,75;3,33;3,00;4,00;3,25;3,00;4,67;4,40
212;facebook;0;female;30;no;;0;3,13;3,78;4,00;3,00;4,20;2,80;3,50;4,25;3,00;4,00;4,00;3,50;2,50;4,00;4,20
213;facebook;0;male;;;;0;2,63;3,00;3,33;3,50;4,10;2,40;3,50;3,25;2,33;3,00;3,20;4,00;2,50;3,67;4,00
214;facebook;0;female;;no;;0;2,13;3,44;3,22;3,88;3,70;1,80;3,50;3,75;3,00;3,50;3,00;4,25;3,00;4,00;3,40
215;facebook;0;female;;;;0;3,38;4,44;2,44;4,88;4,00;3,40;2,50;4,75;4,67;2,00;2,20;5,00;4,50;4,33;3,80
217;facebook;0;female;;;;0;1,38;2,89;2,33;3,63;3,00;1,60;1,00;3,25;3,00;2,00;2,00;4,00;3,00;3,67;2,20
218;facebook;0;female;;;;0;2,75;3,11;3,78;3,88;3,20;2,60;3,00;3,75;2,33;2,50;3,80;3,50;4,00;2,33;3,60
