id ; sentences ; items ; chars ; allTypes ; wordTypes ; skip ; compound ; hashtags ; links ; punct; questions ; exclam ; numbers ; upcase ; lowcase ; firstup ; pt-lexicon ; added ; verb-pro ; names ; en-lexicon ; rewrite ; mispell ; foreign ; emo+ ; emo- ; emo* ; laugh ; emph ; echars ; unkn ; 1funct;2pronoun;3ppron;4i;5we;6you;7shehe;8they;9ipron;10article;11verb;12auxverb;13past;14present;15future;16adverb;17preps;18conj;19negate;20quant;21number;22swear;23social;24family;25friend;26humans;27affect;28posemo;29negemo;30anx;31anger;32sad;33cogmech;34insight;35cause;36discrep;37tentat;38certain;39inhib;40incl;41excl;42percept;43see;44hear;45feel;46bio;47body;48health;49sexual;50ingest;51relativ;52motion;53space;54time;55work;56achieve;57leisure;58home;59money;60relig;61death;62assent;63nonfl;64filler;BPconcr;BPsubj;BPimage;BPaoa;m ; f ; s ; p ; aument ; dimin ; superlat ; N ; A ; PREP ; CONJ ; ADV ; PREFIX ; SIGLA ; ABREV ; INTERJ ; DET ; def ; indef ; NUM ; numC ; numO ; numM ; numF ; PRO ; proDem ; proIndef ; proRel ; proInterr ; proTrat ; proPoss ; proPess;acusativa ; dativa ; nominativa ; obliqua ; reflexa ; p1 ; p2 ; p3; V ; VW ; VG ; VK ; VP ; VI ; VJ ; VF ; VQ ; VS ; VT ; VU ; VY ; VC; V1s ; V2s ; V3s ; V1p ; V2p ; V3p 
1141;205;2419;11805;957;918;0,0008;0,0107;0,0169;0,0012;0,1997;0,0066;0,0128;0,0174;0,0124;0,8553;0,1315;0,9326;0,0041;0,0012;0,0153;0,0298;0,0095;0,0091;0,0033;0;0,0008;0;0,0099;0;0,011;0,0021;0,5362;0,1951;0,1253;0,0252;0,0066;0,0802;0,0723;0,0174;0,1339;0,0897;0,184;0,0632;0,0438;0,1112;0,0079;0,0546;0,1654;0,0984;0,0219;0,0591;0,0157;0,074;0,2117;0,0004;0,0099;0,0881;0,093;0,0666;0,0248;0,0041;0,0083;0,012;0,4444;0,0823;0,0616;0,0847;0,1091;0,0372;0,0703;0,1447;0,0885;0,062;0,0273;0,0128;0,0207;0,048;0,0232;0,0058;0,0149;0,1029;0,2447;0,0707;0,1124;0,1224;0,0294;0,0554;0,0289;0,0037;0,0356;0,0062;0,0004;0,0045;0,0306;0,0017;4,2484;5,1202;4,4502;3,7885;0,9554;0,6279;1,3853;0,3824;0;0,0004;0,0004;0,4473;0,153;0,2121;0,1062;0,1463;0,0207;0,0099;0,0455;0,0029;0,1054;0,067;0,0174;0,0211;0,0178;0,0025;0;0,0008;0,4407;0,0843;0,1108;0,0525;0,0459;0,0091;0,0136;0,1282;0,0984;0,0298;0,0227;0,0302;0,0165;0,0356;0,0099;0,1091;0,334;0,0525;0,0141;0,0269;0,1513;0,0103;0,0281;0,0021;0,0037;0,0327;0,0025;0,0389;0,11;0,0017;0,1484;0,0814;0,2001;0,0041;0,0045;0,0157
1142;319;4673;23157;1587;1433;0;0,0141;0,0156;0;0,2221;0,0026;0,0327;0,0214;0,0255;0,7644;0,2099;0,9459;0,0047;0,0026;0,0184;0,0118;0,009;0,0075;0,0019;0;0;0;0,0021;0,0017;0,0064;0,0109;0,4993;0,1757;0,1205;0,0229;0,0086;0,0811;0,0668;0,0214;0,1134;0,0822;0,134;0,0509;0,0267;0,0924;0,0073;0,0404;0,1748;0,0839;0,0118;0,0556;0,0101;0,0719;0,2125;0,0079;0,0148;0,0999;0,1149;0,0935;0,0193;0,0043;0,0075;0,0073;0,3916;0,0648;0,0345;0,0661;0,0882;0,0404;0,0417;0,1566;0,061;0,0599;0,0212;0,0107;0,024;0,0565;0,021;0,0154;0,0154;0,0931;0,2151;0,0554;0,1215;0,1034;0,0349;0,0655;0,025;0,0068;0,0178;0,0105;0,0053;0,0088;0,0263;0,0006;4,1595;5,0623;4,4553;3,7939;0,9747;0,6037;1,3221;0,3991;0;0,0024;0;0,4864;0,165;0,2472;0,0907;0,1108;0,0137;0,0103;0,0389;0,0013;0,0965;0,0644;0,0148;0,0173;0,0152;0,0015;0;0,0006;0,3777;0,0788;0,0796;0,0351;0,0332;0,0066;0,0244;0,1239;0,1049;0,0383;0,0146;0,0385;0,0171;0,0379;0,0086;0,1123;0,2801;0,0347;0,0088;0,0229;0,1408;0,0026;0,0195;0,0036;0,003;0,0385;0,0013;0,0246;0,0989;0,0013;0,1175;0,0706;0,1562;0,0043;0,0028;0,0193
1143;241;1582;8291;646;537;0,0006;0,0664;0,256;0,0013;0,2314;0,0038;0,0936;0,0164;0,0386;0,7035;0,2579;0,7465;0,0209;0;0,0651;0,1131;0,0417;0,0392;0,0272;0,0013;0,0006;0,0019;0,0133;0,0019;0,0179;0,0076;0,3097;0,0632;0,0411;0,0057;0,0019;0,031;0,0259;0,0051;0,0487;0,0468;0,1163;0,0556;0,0202;0,0796;0,0025;0,0297;0,1233;0,0367;0,007;0,0392;0,0088;0,0291;0,0917;0,0032;0,0063;0,067;0,0967;0,0714;0,0209;0,0038;0,0114;0,0063;0,2598;0,0303;0,0354;0,036;0,0607;0,0228;0,0493;0,1018;0,0379;0,0386;0,0164;0,0013;0,0164;0,0354;0,0126;0,0057;0,0095;0,1005;0,2099;0,055;0,0796;0,0898;0,012;0,0468;0,0348;0,0095;0,0107;0,0032;0,0044;0,0107;0,0133;0;4,4691;5,0664;4,6693;3,6352;0,6315;0,4728;1,0398;0,2092;0,0025;0,007;0;0,3906;0,1283;0,201;0,0405;0,0765;0,0051;0,012;0,0209;0,0006;0,0575;0,0272;0,0145;0,0158;0,0145;0,0006;0;0,0006;0,1669;0,0354;0,048;0,0145;0,0133;0,0032;0,0019;0,0512;0,0417;0,0145;0,0076;0,0145;0,0025;0,0063;0,0044;0,0461;0,2345;0,024;0,0076;0,0145;0,1466;0,0013;0,0164;0,0006;0;0,0202;0,0006;0,0177;0,086;0,0013;0,0815;0,074;0,1403;0,0019;0,0063;0,024
1144;165;2131;10914;969;860;0;0,0009;0,0019;0,0005;0,2703;0,0099;0,0314;0,0145;0,016;0,8076;0,175;0,9202;0,0066;0,0023;0,0202;0,0216;0,015;0,0131;0,0009;0,0023;0,0005;0,0009;0,0174;0,0014;0,0329;0,0056;0,4993;0,1619;0,1023;0,0113;0,0075;0,0788;0,0704;0,0164;0,1239;0,0948;0,1427;0,0582;0,0319;0,0995;0,0052;0,0605;0,1586;0,0896;0,0155;0,068;0,0127;0,0629;0,1788;0,0047;0,0056;0,091;0,1028;0,0709;0,0249;0,0028;0,0099;0,0113;0,4191;0,0643;0,0446;0,0605;0,1018;0,0507;0,068;0,1445;0,0709;0,0638;0,0239;0,0089;0,0258;0,0535;0,016;0,008;0,0099;0,0873;0,2191;0,0493;0,1042;0,1187;0,031;0,0619;0,0197;0,0042;0,0225;0,0052;0,0038;0,0113;0,0352;0,0009;4,1408;5,0259;4,3531;3,9272;0,9413;0,5626;1,3595;0,3036;0;0,0009;0,0019;0,4688;0,1755;0,1924;0,0967;0,137;0,0239;0,0099;0,0422;0,0047;0,1098;0,0662;0,0192;0,0244;0,0188;0,0028;0,0005;0,0023;0,3674;0,092;0,0896;0,0352;0,0296;0,0052;0,0174;0,1046;0,092;0,0249;0,0089;0,0258;0,0084;0,03;0,0038;0,0985;0,274;0,0296;0,0099;0,0216;0,1375;0,0056;0,0263;0,0033;0,0042;0,0221;0,0028;0,0221;0,0981;0,0019;0,1046;0,068;0,1633;0,0061;0,0038;0,0136
1145;305;4301;21353;1432;1320;0;0,0149;0,0563;0,0005;0,2304;0,0049;0,0346;0,01;0,0146;0,8307;0,1546;0,8928;0,0042;0,0009;0,0239;0,063;0,0135;0,0088;0,0081;0;0,0002;0,0009;0,0009;0,0007;0,0044;0,0042;0,5034;0,1834;0,1183;0,0291;0,0093;0,0725;0,0523;0,0123;0,1118;0,0656;0,1648;0,0651;0,0339;0,1044;0,01;0,0467;0,14;0,0918;0,0174;0,073;0,0149;0,0681;0,2123;0,0146;0,0088;0,1063;0,1158;0,0865;0,0242;0,003;0,0081;0,0119;0,3943;0,0551;0,0446;0,0725;0,1053;0,0495;0,0505;0,1316;0,0835;0,0763;0,02;0,0144;0,03;0,0586;0,0216;0,0167;0,0212;0,0858;0,2237;0,0744;0,0886;0,1046;0,0258;0,0658;0,036;0,0049;0,016;0,0044;0,0033;0,01;0,0221;0,0005;4,145;5,1027;4,4545;3,6355;0,9175;0,614;1,3441;0,3083;0,0002;0,0005;0;0,4169;0,1453;0,176;0,0997;0,1388;0,0172;0,0084;0,0349;0,0019;0,0807;0,0428;0,016;0,0219;0,0172;0,003;0,0002;0,0014;0,4187;0,0595;0,1202;0,046;0,0412;0,0163;0,0195;0,1216;0,0811;0,0372;0,0344;0,0381;0,0193;0,0472;0,0202;0,0956;0,305;0,0509;0,007;0,0193;0,1479;0,0037;0,0319;0,0016;0,004;0,0305;0,0026;0,0398;0,0986;0,0019;0,1421;0,0749;0,1927;0,0084;0,0019;0,0119
1146;7;81;359;54;54;0;0;0;0;0,1235;0;0;0;0,0247;0,8889;0,0864;0,9877;0,0123;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6049;0,2099;0,1852;0;0;0,1852;0,1481;0,0617;0,1235;0,0988;0,1975;0,0864;0,0247;0,0864;0;0,037;0,1481;0,0741;0,0247;0,0617;0;0,0494;0,2222;0;0,0247;0,1975;0,2346;0,0988;0,1481;0,0741;0,037;0,0864;0,3827;0,037;0,0123;0,0123;0,0864;0,037;0,0494;0,1728;0,0617;0,1111;0;0;0,0864;0,1358;0,0123;0,0494;0,0247;0,0741;0,2346;0,037;0,1605;0,1235;0,0247;0,1235;0,0123;0;0,0123;0;0;0,0123;0,037;0;3,7334;5,1649;4,1514;4,0066;1,2346;0,5802;1,6914;0,2346;0;0;0;0,6049;0,2346;0,2222;0,0741;0,1111;0;0;0,037;0;0,0988;0,0988;0;0;0;0;0;0;0,4444;0,1235;0,0617;0,0247;0;0,0247;0,0617;0,1605;0,1358;0,037;0,0247;0,037;0;0,0247;0,0247;0,2099;0,358;0,0494;0;0,0494;0,2099;0,0123;0;0;0;0,037;0;0,0123;0,1358;0;0,1728;0,0988;0,2346;0;0;0
1147;734;13189;69744;2956;2745;0,0046;0,0062;0,0011;0,0014;0,2612;0,0189;0,0203;0,0243;0,0522;0,8343;0,1128;0,8908;0,0167;0,0014;0,0241;0,0412;0,0081;0,008;0,0054;0,0002;0;0,0004;0,0026;0,0021;0,0061;0,0105;0,4897;0,1693;0,1067;0,0223;0,0049;0,0676;0,0601;0,0163;0,1178;0,0772;0,1385;0,056;0,0309;0,0751;0,0087;0,0408;0,1594;0,0922;0,0131;0,0588;0,0148;0,0679;0,1979;0,0004;0,0071;0,072;0,0844;0,0613;0,0202;0,0045;0,0069;0,0062;0,4194;0,0662;0,0503;0,0696;0,1068;0,0393;0,0664;0,1413;0,0776;0,0483;0,0141;0,0144;0,0202;0,0396;0,0177;0,0048;0,0099;0,096;0,2066;0,0588;0,1125;0,1041;0,0458;0,0524;0,0153;0,0058;0,0337;0,0051;0,003;0,0124;0,0249;0,0012;4,1742;5,0396;4,3462;4,1047;0,8747;0,6013;1,244;0,3644;0,0001;0,0008;0;0,4253;0,1496;0,231;0,0999;0,1105;0,0209;0,0171;0,0441;0,0015;0,0967;0,0539;0,0191;0,0237;0,0209;0,0015;0,0003;0,001;0,378;0,0698;0,0953;0,0388;0,0347;0,0092;0,0133;0,1207;0,093;0,0353;0,0205;0,0365;0,019;0,0346;0,0063;0,1061;0,272;0,0398;0,0082;0,0231;0,1053;0,0067;0,0281;0,0077;0,0032;0,0265;0,0068;0,0323;0,0763;0,0096;0,1273;0,0515;0,1582;0,0086;0,0039;0,0163
1149;329;2390;11302;860;802;0;0,0255;0,031;0,0008;0,3155;0,0096;0,0916;0,0297;0,0439;0,7699;0,1858;0,9444;0,0063;0,0004;0,0134;0,0092;0,0251;0,0088;0,0017;0,0004;0;0,0017;0,0038;0,0025;0,0151;0,0163;0,5259;0,1795;0,1272;0,0297;0,0117;0,0795;0,0536;0,018;0,0975;0,0674;0,1803;0,0745;0,0272;0,1226;0,0071;0,0485;0,1268;0,0925;0,0205;0,0615;0,0159;0,0791;0,2126;0,0134;0,0142;0,1176;0,1184;0,0866;0,0305;0,0059;0,0088;0,0113;0,3874;0,0644;0,0444;0,0649;0,0862;0,0431;0,0494;0,1485;0,0757;0,0686;0,0255;0,0084;0,0285;0,0791;0,0247;0,0109;0,0293;0,1038;0,2519;0,0757;0,0921;0,1146;0,0201;0,0619;0,0305;0,0071;0,0209;0,0079;0,0033;0,01;0,0226;0,0008;4,2932;5,148;4,5873;3,3719;0,9272;0,605;1,354;0,3029;0;0,0038;0;0,4895;0,1548;0,182;0,1;0,1305;0,0138;0,0113;0,0364;0,0021;0,0849;0,0464;0,0167;0,0218;0,0172;0,0029;0,0004;0,0013;0,3845;0,0674;0,0887;0,0364;0,0297;0,0151;0,023;0,1314;0,0946;0,0456;0,0326;0,0477;0,0222;0,0531;0,0243;0,0992;0,3088;0,0477;0,0134;0,023;0,1573;0,0038;0,0234;0,0017;0,0008;0,0351;0,0017;0,0314;0,1096;0,0029;0,1322;0,0862;0,1971;0,0109;0,0013;0,005
115;252;3367;17279;1161;993;0;0,0021;0,0012;0,0009;0,4559;0,0187;0,1868;0,0226;0,0128;0,7431;0,2438;0,8978;0,0036;0,0006;0,0532;0,0163;0,0175;0,0128;0,0042;0;0;0,0015;0,016;0,0039;0,0256;0,003;0,4898;0,1841;0,1191;0,0321;0,0095;0,0698;0,057;0,0149;0,112;0,0689;0,1464;0,0618;0,0285;0,0933;0,008;0,0386;0,1304;0,087;0,0134;0,0496;0,0134;0,0621;0,2023;0,0113;0,0149;0,0971;0,1001;0,0805;0,016;0,0018;0,0033;0,0098;0,3671;0,0621;0,0395;0,0552;0,0843;0,0374;0,0481;0,1387;0,0609;0,0677;0,0285;0,0134;0,0193;0,0526;0,022;0,0083;0,0092;0,0689;0,1933;0,0567;0,0734;0,0858;0,0193;0,0407;0,0291;0,011;0,019;0,0151;0,0027;0,0077;0,022;0,0009;4,3218;5,0478;4,5965;3,46;0,8738;0,5806;1,2827;0,3264;0,0006;0,0077;0;0,4256;0,1443;0,1838;0,0956;0,1057;0,016;0,0065;0,0347;0,0012;0,087;0,0463;0,019;0,0217;0,0193;0,0012;0;0,0012;0,365;0,0698;0,0826;0,0339;0,0294;0,0134;0,0294;0,1117;0,0826;0,0303;0,0291;0,0315;0,0146;0,0502;0,011;0,0983;0,2994;0,0463;0,0092;0,0241;0,1423;0,0033;0,0264;0,0036;0,0048;0,03;0,0024;0,0342;0,1016;0,0027;0,1194;0,0811;0,177;0,0074;0,0033;0,0175
1150;249;2923;14415;1255;1157;0,0003;0,027;0,0499;0,0003;0,3158;0,0058;0,1327;0,0174;0,0243;0,8464;0,129;0,8827;0,0133;0,001;0,0219;0,0571;0,0585;0,014;0,0048;0,0007;0;0,0027;0,0055;0,0044;0,0228;0,0055;0,4516;0,1529;0,103;0,0236;0,0034;0,0657;0,0561;0,0171;0,103;0,0794;0,1464;0,0571;0,0308;0,0944;0,0051;0,0308;0,1471;0,0739;0,0181;0,0558;0,0144;0,0671;0,1912;0,0123;0,0151;0,102;0,1037;0,0756;0,0281;0,0027;0,0113;0,0106;0,3691;0,0547;0,0462;0,0544;0,0848;0,0373;0,0534;0,1365;0,0633;0,0541;0,0226;0,0079;0,0236;0,0629;0,0243;0,0113;0,0154;0,1016;0,1971;0,065;0,0972;0,0852;0,0233;0,0482;0,0366;0,0113;0,0301;0,0051;0,0024;0,0123;0,0287;0,0034;4,3925;5,0313;4,5965;3,648;0,8081;0,624;1,3086;0,2983;0,0003;0,0048;0;0,4434;0,1488;0,2268;0,0783;0,1054;0,0123;0,0127;0,0428;0,0021;0,0989;0,0564;0,0192;0,0233;0,0205;0,0007;0;0,0021;0,3442;0,0732;0,0835;0,0301;0,0281;0,0048;0,0133;0,118;0,0961;0,0356;0,0192;0,0366;0,0116;0,0356;0,0089;0,0985;0,298;0,0404;0,013;0,0178;0,1526;0,0048;0,026;0,0024;0,001;0,0294;0,0021;0,0339;0,0996;0,0017;0,1286;0,0818;0,1724;0,0031;0,0048;0,0154
1151;161;1225;5857;603;541;0,0008;0,0131;0,0057;0,0082;0,3176;0,0073;0,0065;0,0204;0,0473;0,8073;0,1445;0,8751;0,0147;0;0,0327;0,0384;0,062;0,0131;0,0188;0,0008;0;0,0016;0,0016;0,0024;0,0073;0,0131;0,4914;0,1829;0,1224;0,0514;0,0049;0,0604;0,0449;0,0139;0,1037;0,0661;0,1331;0,0571;0,022;0,0947;0,0057;0,0367;0,1535;0,0922;0,0122;0,0555;0,0073;0,0506;0,1886;0,0114;0,018;0,1045;0,0824;0,0571;0,0261;0,0065;0,0082;0,0139;0,36;0,0416;0,0327;0,0514;0,0702;0,0343;0,0522;0,1641;0,0604;0,0596;0,018;0,0082;0,0196;0,0539;0,0212;0,0082;0,0171;0,0637;0,1927;0,0604;0,098;0,0816;0,0147;0,031;0,018;0,0049;0,0196;0,0049;0,0008;0,0098;0,0269;0;4,3302;5,048;4,5919;3,4891;0,8237;0,6024;1,2212;0,3282;0;0,0057;0;0,422;0,1298;0,2;0,098;0,1078;0,0163;0,0082;0,0612;0,0008;0,0767;0,0522;0,0114;0,0131;0,0114;0;0;0,0016;0,3747;0,0767;0,0808;0,0335;0,0286;0,0057;0,0171;0,1412;0,111;0,0506;0,031;0,0563;0,0196;0,0718;0,0057;0,0955;0,262;0,0367;0,0082;0,0147;0,1396;0,0049;0,0147;0,0008;0,0024;0,0278;0,0008;0,0269;0,1004;0,0033;0,1069;0,0816;0,1551;0,0057;0,0033;0,0139
1152;58;1068;5241;436;408;0;0,0328;0,0609;0;0,2481;0,0037;0,0749;0,03;0,029;0,7846;0,1863;0,956;0,0019;0,0009;0,0197;0,0112;0,015;0,0253;0;0;0;0;0,0075;0;0,0084;0,0028;0,4934;0,1639;0,1021;0,0112;0,0084;0,0749;0,0684;0,014;0,1245;0,0946;0,1545;0,0534;0,0337;0,0908;0,0056;0,0375;0,1517;0,0899;0,014;0,0674;0,0103;0,0627;0,1798;0,0019;0,0131;0,0899;0,1283;0,0908;0,0365;0,0066;0,0197;0,0159;0,3895;0,0534;0,0375;0,0637;0,0983;0,0403;0,0421;0,1348;0,0768;0,0571;0,0262;0,0037;0,0187;0,0655;0,0234;0,0225;0,015;0,1273;0,2612;0,0787;0,1199;0,1199;0,0328;0,0627;0,03;0,0122;0,0206;0,0028;0,0047;0,0094;0,0281;0;4,2343;5,0247;4,4836;3,8572;0,9157;0,7837;1,5375;0,3137;0;0,0019;0;0,5037;0,1976;0,2631;0,0983;0,1311;0,0206;0,0122;0,0356;0,0009;0,1133;0,0674;0,0206;0,0253;0,0206;0,0037;0;0,0009;0,3933;0,089;0,0918;0,044;0,0403;0,0028;0,0169;0,1152;0,1039;0,0346;0,0084;0,0356;0,0056;0,0281;0,0047;0,1086;0,3052;0,0337;0,0122;0,0431;0,1564;0,0037;0,0281;0,0084;0,0028;0,0253;0,0009;0,03;0,1058;0;0,1096;0,0908;0,1713;0,0056;0,0019;0,015
1153;347;2063;10436;954;841;0;0,0015;0,0024;0,0048;0,2782;0,0189;0,0504;0,0126;0,017;0,7373;0,2458;0,8943;0,0053;0,0024;0,0291;0,0567;0,0082;0,0271;0,0039;0;0;0,0024;0,0005;0,001;0,0084;0,0044;0,4823;0,1735;0,1154;0,0092;0,0063;0,0931;0,065;0,0242;0,1168;0,0751;0,1498;0,0654;0,0208;0,1086;0,0058;0,0446;0,1444;0,0819;0,0233;0,0422;0,0087;0,0577;0,1895;0,001;0,0092;0,0848;0,095;0,0635;0,0247;0,0053;0,0092;0,0097;0,3684;0,0538;0,047;0,0548;0,0785;0,0354;0,0441;0,1246;0,0698;0,0543;0,015;0,0107;0,016;0,0509;0,0223;0,0121;0,0121;0,095;0,2167;0,0654;0,1076;0,1032;0,0267;0,0519;0,0271;0,0039;0,017;0,0097;0,0053;0,0082;0,0291;0;4,2306;4,9996;4,4861;3,8013;0,8517;0,636;1,2739;0,3582;0;0,0073;0;0,4319;0,1348;0,1949;0,0882;0,1129;0,0233;0,0126;0,0388;0,0024;0,0873;0,065;0,0092;0,0131;0,0102;0,0015;0;0,0015;0,3825;0,0829;0,0848;0,0407;0,032;0,0141;0,0155;0,1173;0,0926;0,0267;0,0199;0,0267;0,0126;0,0189;0,0204;0,1125;0,2904;0,0431;0,0082;0,0175;0,1532;0,0063;0,0116;0,0044;0;0,0368;0,001;0,0368;0,1095;0,001;0,1144;0,0829;0,1847;0,0107;0,0019;0,0179
1155;60;320;1832;172;130;0;0,0063;0,0063;0;0,3469;0,0156;0,0187;0,0125;0,0063;0,6031;0,3906;0,7281;0,0094;0,0063;0,1625;0,0125;0,05;0,0125;0,0031;0;0;0;0,0656;0,0125;0,0808;0;0,3469;0,1125;0,0844;0,0125;0,0094;0,0594;0,0281;0,0125;0,0563;0,0406;0,1656;0,0625;0,0375;0,1125;0;0,0312;0,0719;0,0406;0,0125;0,0406;0,0125;0,0312;0,1344;0,0031;0,0031;0,0594;0,0719;0,0469;0,0219;0,0031;0,0031;0,0156;0,25;0,0625;0,0187;0,0406;0,0594;0,025;0,0375;0,0875;0,0563;0,0437;0,0219;0,0125;0,0219;0,025;0,0094;0,0063;0;0,0563;0,1656;0,0625;0,0656;0,0563;0,0063;0,025;0,025;0,0031;0,0031;0,0031;0;0,0094;0,0125;0;4,3474;5,1367;4,656;3,2991;0,7156;0,4594;0,9938;0,2594;0;0,0031;0;0,2656;0,1;0,1031;0,0375;0,1031;0,0156;0;0,0187;0;0,05;0,025;0,0125;0,0125;0,0125;0;0;0;0,2781;0,0281;0,0844;0,0281;0,0312;0,0281;0,0094;0,0688;0,0281;0;0,0437;0;0;0,0156;0,0219;0,0688;0,2469;0,0187;0,0125;0,0125;0,1187;0,0094;0,0344;0;0;0,0281;0,0031;0,0125;0,0813;0,0031;0,0906;0,0531;0,1562;0,0094;0;0,0125
1157;72;541;2725;314;272;0,0259;0,0148;0,0148;0;0,2421;0,0148;0,0388;0,0481;0,0314;0,7301;0,2311;0,7837;0,0166;0;0,0444;0,0333;0,0536;0,0185;0,0351;0,0018;0;0;0,0148;0,0148;0,0528;0,0277;0,4233;0,1719;0,0998;0,0296;0,0037;0,0628;0,0536;0,0055;0,122;0,0832;0,1275;0,0462;0,0314;0,0887;0;0,0481;0,1257;0,0647;0,0092;0,0518;0,0055;0,061;0,1867;0,0092;0,0166;0,098;0,0887;0,0702;0,0185;0,0018;0,0055;0,0111;0,3253;0,0407;0,0425;0,0684;0,0998;0,0388;0,061;0,1035;0,0721;0,0444;0,0111;0,0092;0,0129;0,0333;0,0166;0,0037;0,0092;0,0998;0,1978;0,0776;0,0887;0,1072;0,0111;0,0351;0,0074;0,0092;0,0166;0,0037;0,0018;0,0074;0,0259;0;4,3326;5,0884;4,6138;3,4162;0,78;0,6396;1,2384;0,3068;0,0037;0,0074;0;0,3715;0,1534;0,1885;0,0684;0,1238;0,0148;0,0111;0,0555;0;0,0924;0,0555;0,0166;0,0203;0,0185;0;0;0,0018;0,366;0,0702;0,0943;0,0444;0,0444;0,0055;0,0129;0,0943;0,0795;0,024;0,0148;0,024;0,0129;0,0333;0,0018;0,0776;0,2384;0,0333;0,0148;0,0203;0,1201;0;0,0259;0;0,0092;0,0129;0;0,024;0,0721;0,0018;0,1054;0,0555;0,1183;0;0,0018;0,0185
1159;209;5713;29835;2052;1901;0,0002;0,0009;0,0016;0;0,22;0,0082;0,027;0,0084;0,0215;0,8778;0,1005;0,9618;0,0117;0,0009;0,0133;0,0049;0,0058;0,0135;0,0007;0;0;0,0005;0,0033;0,0004;0,0061;0,0021;0,5325;0,157;0,1026;0,0054;0,0039;0,0819;0,074;0,0233;0,1218;0,0982;0,139;0,0613;0,0222;0,1036;0,0058;0,0445;0,1885;0,0922;0,0242;0,0763;0,0208;0,0627;0,1857;0,0011;0,0058;0,0824;0,0933;0,0581;0,0291;0,0047;0,0137;0,0109;0,4308;0,052;0,048;0,0569;0,1005;0,0338;0,0592;0,1574;0,0775;0,0529;0,0194;0,011;0,0191;0,0446;0,0191;0,0081;0,0124;0,0859;0,2127;0,0574;0,1215;0,0977;0,0368;0,0574;0,0193;0,0051;0,0331;0,0103;0,004;0,0091;0,0284;0,0019;4,1488;4,8797;4,3259;4,2409;0,9877;0,6268;1,3641;0,3973;0;0,0012;0,0002;0,4973;0,2053;0,2367;0,1012;0,1229;0,0238;0,0158;0,0394;0,0007;0,1285;0,0705;0,0261;0,0319;0,0289;0,0016;0;0,0014;0,3748;0,0894;0,0952;0,0368;0,0282;0,0026;0,0116;0,1155;0,1012;0,0277;0,0075;0,0278;0,0131;0,0175;0,0025;0,1143;0,2921;0,0326;0,0079;0,0319;0,1483;0,0026;0,0173;0,003;0,004;0,0315;0,0018;0,0257;0,0978;0,004;0,1061;0,0768;0,1612;0,0032;0,0016;0,0245
116;319;3527;16841;1137;1062;0,0003;0;0;0,0006;0,2382;0,006;0,055;0,004;0,0176;0,814;0,1684;0,9702;0,0028;0,0023;0,0176;0,0011;0,0139;0,0145;0;0;0;0,0009;0,0037;0;0,0058;0,0011;0,5826;0,2302;0,1463;0,0332;0,0082;0,093;0,0768;0,021;0,15;0,0839;0,1803;0,0828;0,0346;0,1109;0,0102;0,0451;0,1613;0,114;0,0179;0,0669;0,0082;0,078;0,2453;0,0085;0,0184;0,1143;0,1191;0,0887;0,0292;0,0088;0,0085;0,0142;0,4644;0,0714;0,0462;0,0822;0,1174;0,0544;0,0692;0,1659;0,0882;0,0746;0,0198;0,0184;0,0289;0,0723;0,0292;0,0179;0,0164;0,0771;0,2333;0,0627;0,1174;0,0958;0,0142;0,0448;0,0278;0,0077;0,0218;0,0074;0,0079;0,0068;0,0349;0,002;4,1645;5,1145;4,4636;3,57;1,0043;0,6785;1,4105;0,4485;0;0,0057;0;0,4647;0,1506;0,2064;0,1191;0,1372;0,019;0,0082;0,0479;0,0009;0,0961;0,0672;0,0136;0,0153;0,0145;0,0003;0;0,0006;0,4942;0,0842;0,1222;0,0587;0,051;0,0145;0,0275;0,1415;0,1075;0,0363;0,0281;0,0383;0,0207;0,0516;0,0105;0,1267;0,3343;0,0542;0,0088;0,0201;0,148;0,0065;0,0315;0,0085;0,0037;0,0388;0,0023;0,0403;0,1032;0,0028;0,1531;0,0763;0,1922;0,0094;0,0011;0,0244
